Pincode,Latitude,Longitude,State,District,Matched_District,Population,Literate,Nightlight_Mean_Radiance,Total_Deposits_Recent,TRAI_Tele_Density_2026,Final_Prosperity_Index
230144,25.89337142857143,81.82911428571428,Uttar Pradesh,Pratapgarh,pratapgarh,867848.0,401515.0,1.718675458629304,3056.4504,71.86,4.515715061205871
230144,25.89337142857143,81.82911428571428,Uttar Pradesh,Pratapgarh,pratapgarh,3209141.0,1931559.0,0.7347131200893798,18467.5576,71.86,19.104638555903385
230144,25.89337142857143,81.82911428571428,Uttar Pradesh,Pratapgarh,pratapgarh,3209141.0,1931559.0,0.7347131200893798,3056.4504,71.86,18.672279577217985
230144,25.89337142857143,81.82911428571428,Uttar Pradesh,Pratapgarh,pratapgarh,3209141.0,1931559.0,1.718675458629304,18467.5576,71.86,19.414563620881985
230144,25.89337142857143,81.82911428571428,Uttar Pradesh,Pratapgarh,pratapgarh,3209141.0,1931559.0,1.718675458629304,3056.4504,71.86,18.98220464219659
230144,25.89337142857143,81.82911428571428,Uttar Pradesh,Pratapgarh,pratapgarh,3209141.0,1931559.0,0.7347131200893798,18467.5576,71.86,19.104638555903385
230144,25.89337142857143,81.82911428571428,Uttar Pradesh,Pratapgarh,pratapgarh,3209141.0,1931559.0,0.7347131200893798,3056.4504,71.86,18.672279577217985
230144,25.89337142857143,81.82911428571428,Uttar Pradesh,Pratapgarh,pratapgarh,3209141.0,1931559.0,1.718675458629304,18467.5576,71.86,19.414563620881985
230144,25.89337142857143,81.82911428571428,Uttar Pradesh,Pratapgarh,pratapgarh,3209141.0,1931559.0,1.718675458629304,3056.4504,71.86,18.98220464219659
847102,26.36602,86.18701999999999,Bihar,Madhubani,madhubani,4487379.0,2155338.0,1.6188224121220478,14664.276,63.79,24.126339958320926
303004,26.9194375,76.3671625,Rajasthan,Dausa,dausa,1634409.0,938051.0,1.851094657270929,9775.5601,84.43,10.008924485708254
761055,19.4053,84.4986,Odisha,Ganjam,ganjam,3529031.0,2210050.0,0.9496691306045444,35911.3726,84.21,22.314321555959115
212203,25.45805,81.5198625,Uttar Pradesh,Kaushambi,kaushambi,1599596.0,813424.0,2.354197269955654,6449.9082,71.86,9.027285729230107
227411,26.23628,82.23131,Uttar Pradesh,Sultanpur,sultanpur,3797117.0,2239902.0,1.826601617874139,13746.7842,71.86,22.599723109281676
847303,26.20472857142857,86.08617142857143,Bihar,Madhubani,madhubani,4487379.0,2155338.0,1.6188224121220478,14664.276,63.79,24.126339958320926
231209,24.6418,83.1354,Uttar Pradesh,Sonbhadra,sonbhadra,1862559.0,985708.0,1.2197175553067772,13990.5869,71.86,10.508323254029115
680506,10.59322,76.0297,Kerala,Thrissur,thrissur,3121200.0,2678548.0,1.7147136046910294,120324.0362,123.36,26.91686530000141
227801,26.2425,82.2267,Uttar Pradesh,Sultanpur,sultanpur,3797117.0,2239902.0,1.826601617874139,13746.7842,71.86,22.599723109281676
673613,11.404033333333333,75.8136,Kerala,Kozhikode,kozhikode,3086293.0,2615443.0,1.1467795817057291,61691.1844,123.36,24.691862227933722
301024,27.55693125,76.5183125,Rajasthan,Alwar,alwar,3674179.0,2182476.0,1.824611490073256,20958.6712,84.43,22.510014242439418
845419,26.604414285714288,84.8872142857143,Bihar,East Champaran,east,1709346.0,1352998.0,43.46814757508117,,63.79,24.881373837820817
845419,26.604414285714288,84.8872142857143,Bihar,East Champaran,east,1709346.0,1352998.0,0.7626943920829407,,63.79,11.43015743016724
